Country,Growth Rate,TFP Growth,Capital Deepening,TFP Share,Capital Share
Australia,1.25,0.93,0.44,0.74,0.35
Austria,1.86,1.02,0.44,0.55,0.24
Belgium,1.72,1.24,0.2,0.72,0.12
Canada,0.92,0.2,0.38,0.22,0.41
Denmark,1.57,1.11,0.23,0.71,0.15
Finland,2.45,1.73,0.33,0.71,0.14
France,1.76,1.27,0.39,0.72,0.22
Germany,1.86,1.82,0.3,0.98,0.16
Greece,1.45,-0.37,0.42,-0.26,0.29
Iceland,1.91,1.76,-0.22,0.92,-0.12
Ireland,2.92,2.72,0.11,0.93,0.04
Italy,1.53,0.14,0.71,0.09,0.46
Japan,2.3,-0.4,1.23,-0.17,0.53
Luxembourg,1.37,1.19,0.48,0.87,0.35
Netherlands,1.28,1.22,0.46,0.95,0.36
New Zealand,0.94,0.72,0.25,0.77,0.26
Norway,1.93,1.65,0.47,0.85,0.24
Portugal,1.81,-0.04,0.38,-0.02,0.21
Spain,1.92,0.72,0.43,0.38,0.23
Sweden,1.77,1.07,0.17,0.6,0.09
Switzerland,0.73,0.26,0.28,0.36,0.38
United Kingdom,1.79,1.67,-0.11,0.93,-0.06
United States,1.59,1.29,0.16,0.81,0.1
Average,1.68,1.0,0.34,0.58,0.22
